2020-01-02	nyt://article/fa50e0db-81a1-575b-8fef-4f93375664c6	[david,stern,jobs,black,people,basketball,labor,race,joel,blacks,ethnicity,assn,national]
2020-01-02	nyt://article/6cce35c5-4304-5b64-a41c-3428b9901fef	[manners,customs,etiquette]
2020-01-02	nyt://article/3119ef41-aeab-510b-abac-db898066def9	[government,depression,anxiety,stress,disorders,mental,politics,states,health,united]
2020-01-02	nyt://article/34fad2b7-e7fe-513a-9c8d-6a05a54e106e	[garcia,colleges,race,lorgia,tenure,ethnicity,americans,demonstrations,pena,action,riots,harvard,promotion,hiring,university,affirmative,universities,minorities,standards,protests,admissions,hispanic]
2020-01-02	nyt://article/a1b44bb6-026b-5ebd-8ac2-632541e917c6	[military,constitution,lakhdar,asylum,corpus,naval,tribunals,guantanamo,act,supreme,right,immigration,commissions,boumediene,cuba,court,deportation,base,illegal,habeas,bay]
2020-01-02	nyt://article/c833dc40-76ef-57e7-8707-4c9c52234141	[santo,travel,vacations,domingo,republic,dominican]
2020-01-02	nyt://article/126ec645-7c7d-5383-86b1-62880bdfa37d	[bill,hotels,leader,lobbying,organized,airbnb,ward,trades,lobbyists,endorsements,new,york,peter,city,finance,council,travel,labor,unite,campaign,motel,union,blasio,lodgings,hotel]
2020-01-02	nyt://article/8c52bb6b-fb80-5567-8164-f19de052a7b7	[irishman,movie,inc,movies,netflix,scorsese,martin]
2020-01-02	nyt://article/4657507b-0173-522b-a060-80daec2c59c5	[relations,inc,ministry,care,patient,samaritan,feed,healthcare,ministries,medi,christians,government,share,regulation,trinity,act,protection,multiplan,liberty,industry,nonprofit,religion,affordable,insurance,christianity,christian,health,managed,state,united,companies,aliera,healthshare,organizations,deregulation,politics,states,international]
2020-01-02	nyt://article/d7f25939-2b8a-5880-9590-076457d35cab	[yang,andrew,election,presidential,campaign,finance]
2020-01-02	nyt://article/3100178c-04d6-56ce-9e9f-4df541d145ce	[fair,era,andy,soul,nazi,camp,warhol,markets,concentration,airbnb,vanishing,book,great,immigration,lost,new,auschwitz,market,flea,emigration,holocaust,persons,york,city,delivery,services,antiques,annex,homeless]
2020-01-02	nyt://article/191a3b00-f744-59bc-8cc6-7e57e733cd8d	[lebanon,france,japan,nissan,fugitives,carlos,extradition,ghosn,renault,motor,turkey]
2020-01-02	nyt://article/61a67b18-a81a-59df-882a-693458f6bcee	[press,russian,trump,associates,government,interference,freedom,elections,ties,donald,united,sulzberger,politics,states]
2020-01-02	nyt://article/08c0c548-c65d-51b9-a90e-245d45655df9	[government,sanders,election,campaign,presidential,politics,bernard,states,united,finance]
2020-01-02	nyt://article/c8465fe5-8eb6-5d97-90df-972b43f38845	[libya,government,military,petroleum,oil,recep,forces,gasoline,tayyip,politics,defense,erdogan,turkey]
2020-01-02	nyt://article/c10606d0-1f3e-5456-ae02-d88b4929b7fe	[saul,high,sex,briarpatch,little,television,five,maintenance,midwife,program,education,creek,schitt,america,call,better,sinner,outlander,shrill,party,kidding,brockmire]
2020-01-02	nyt://article/980e7876-8871-5832-83b9-1861aebfdc60	[government,castro,julian,caucuses,primaries,states,election,presidential,politics,democratic,party,united]
2020-01-02	nyt://article/2dee9509-38db-5f17-a260-dbed763acd25	[leasing,park,vermont,utah,colo,mont,big,real,renting,city,vail,estate,sky]
2020-01-02	nyt://article/49f12fa7-abf0-5a5e-bfa5-10ebd2447bd3	[government,new,wales,scott,australia,south,wildfires,evacuations,politics,morrison,evacuees]
2020-01-02	nyt://article/b496c678-15f2-5f3a-8d12-66bcfe73fd20	[charlie,movie,ferrari,girls,movies,women,oscars,little,jojo,awards,hollywood,time,parasite,rabbit,irishman,academy,upon,says,ford,joker]
2020-01-02	nyt://article/02bf7a8f-cddd-5bfc-811e-622bbf53a93f	[hill,sculpture,giovanni,ray,tomilson,bertoldo,charles,art,collection,foundation,frick]
2020-01-02	nyt://article/750acd90-cd40-58a6-9cc5-dd12b282b587	[clarke,marianne,cromwell,wendell,elliott,vic,sharon,play,england,miranda,theater,company,young,piccadilly,pierce,arthur,death,salesman,miller,london]
2020-01-02	nyt://article/29c8f151-2add-5f38-93a8-c2043236dd2f	[oravel,hotels,agarwal,ritesh,capital,venture,corporate,stays,ltd,softbank,pvt,responsibility,social,travel,corporation,lodgings,india,budget,oyo]
2020-01-02	nyt://article/90b7b919-45b6-58af-bfe2-d36a9722cb8a	[civilian,taliban,forces,kabul,afghan,security,casualties,national,afghanistan]
2020-01-02	nyt://article/eff71356-fe7d-541d-9d18-c53eac65d3c5	[richland,wash,invasive,traffic,roads,species]
2020-01-02	nyt://article/b100b6f0-cd0c-5bc5-8b80-5f8b6661aac3	[cafe,americans,park,restaurant,sunset,restaurants,brooklyn,yafa,yemeni]
